device=cuda
tiles=29117  micro-batches/epoch=909  opt-steps/epoch=909
eff_batch=32 (batch 32 x accum 1)  base_lr=1.87e-05  warmup=909  total_steps=45450  recon=l2  augment=True

==============================================================================
run started 2026-07-28 12:15:12
args: {'data_root': '../SEN12MSCR/ROIs1158_spring_s2', 'pattern': '**/*.tif', 'img_size': 256, 'patch_size': 16, 'model_size': 'small', 'batch_size': 128, 'accum_steps': 4, 'epochs': 100, 'max_steps': 0, 'lr': 0.00015, 'no_lr_scaling': False, 'weight_decay': 0.05, 'warmup_steps': 0, 'recon_loss': 'l1', 'no_muon': False, 'muon_lr': 0.02, 'cmmd_weight': 0.0, 'cmmd_sigma': 0.0, 'norm_pix_loss': True, 'augment': True, 'no_normalize': False, 'val_fraction': 0.05, 'eval_every': 250, 'eval_batches': 16, 'num_workers': 16, 'amp': True, 'out': 'mae_backbone_small.pt', 'ckpt_every': 500, 'resume': '', 'log_file': 'train_log.txt'}
device=cuda
tiles=27661  val_tiles=1456  micro-batches/epoch=216  opt-steps/epoch=54
eff_batch=512 (batch 128 x accum 4)  base_lr=3.00e-04  muon_lr=4.00e-02 (muon=True)  warmup=54  total_steps=5400  recon=l1  norm_pix_loss=True  cmmd_weight=0.0  augment=True  normalize=True
model_size=small  encoder=21.6M  decoder=3.5M  mask_ratio=0.75
muon params=24.4M  adamw params=0.7M
epoch  35 | step  1940/5400 | loss 0.3678 | lr 2.17e-04 | 0.5 opt-it/s
epoch  36 | step  1960/5400 | loss 0.4012 | lr 2.15e-04 | 0.5 opt-it/s
epoch  36 | step  1980/5400 | loss 0.3848 | lr 2.14e-04 | 0.5 opt-it/s
  VAL step  2000 | loss 0.3897 | psnr_norm 4.07dB | psnr_pix 32.01dB | ssim 0.8917
  checkpoint -> mae_backbone_small.pt.ckpt (step 2000)
epoch  37 | step  2000/5400 | loss 0.3722 | lr 2.12e-04 | 0.5 opt-it/s
epoch  37 | step  2020/5400 | loss 0.3939 | lr 2.11e-04 | 0.5 opt-it/s

==============================================================================
run started 2026-07-28 13:33:19
args: {'data_root': '../SEN12MSCR/ROIs1158_spring_s2', 'pattern': '**/*.tif', 'img_size': 256, 'patch_size': 16, 'model_size': 'small', 'batch_size': 128, 'accum_steps': 4, 'epochs': 100, 'max_steps': 0, 'lr': 0.00015, 'no_lr_scaling': False, 'weight_decay': 0.05, 'warmup_steps': 0, 'recon_loss': 'l1', 'no_muon': False, 'muon_lr': 0.02, 'cmmd_weight': 0.0, 'cmmd_sigma': 0.0, 'norm_pix_loss': True, 'augment': True, 'no_normalize': False, 'val_fraction': 0.05, 'eval_every': 250, 'eval_batches': 16, 'num_workers': 16, 'amp': True, 'out': 'mae_backbone_small.pt', 'ckpt_every': 500, 'resume': 'mae_backbone_small.pt.ckpt', 'log_file': 'train_log.txt'}
device=cuda
tiles=27661  val_tiles=1456  micro-batches/epoch=216  opt-steps/epoch=54
eff_batch=512 (batch 128 x accum 4)  base_lr=3.00e-04  muon_lr=4.00e-02 (muon=True)  warmup=54  total_steps=5400  recon=l1  norm_pix_loss=True  cmmd_weight=0.0  augment=True  normalize=True
model_size=small  encoder=21.6M  decoder=3.5M  mask_ratio=0.75
muon params=24.4M  adamw params=0.7M
resumed from mae_backbone_small.pt.ckpt at step 2000/5400
epoch   0 | step  2000/5400 | loss 0.4133 | lr 2.12e-04 | 237.3 opt-it/s
epoch   0 | step  2020/5400 | loss 0.3960 | lr 2.11e-04 | 45.7 opt-it/s
epoch   0 | step  2040/5400 | loss 0.3750 | lr 2.09e-04 | 23.2 opt-it/s
epoch   1 | step  2060/5400 | loss 0.3662 | lr 2.07e-04 | 16.0 opt-it/s
epoch   1 | step  2080/5400 | loss 0.3997 | lr 2.06e-04 | 13.1 opt-it/s
epoch   1 | step  2100/5400 | loss 0.3944 | lr 2.04e-04 | 10.7 opt-it/s
epoch   2 | step  2120/5400 | loss 0.3577 | lr 2.02e-04 | 8.9 opt-it/s
epoch   2 | step  2140/5400 | loss 0.3923 | lr 2.01e-04 | 7.9 opt-it/s
epoch   2 | step  2160/5400 | loss 0.3886 | lr 1.99e-04 | 7.2 opt-it/s
epoch   3 | step  2180/5400 | loss 0.3972 | lr 1.97e-04 | 6.6 opt-it/s
epoch   3 | step  2200/5400 | loss 0.3859 | lr 1.96e-04 | 6.1 opt-it/s
epoch   4 | step  2220/5400 | loss 0.3819 | lr 1.94e-04 | 5.6 opt-it/s
epoch   4 | step  2240/5400 | loss 0.4077 | lr 1.92e-04 | 5.2 opt-it/s
  VAL step  2250 | loss 0.3889 | psnr_norm 4.10dB | psnr_pix 32.06dB | ssim 0.8922  <-- best
epoch   4 | step  2260/5400 | loss 0.4010 | lr 1.91e-04 | 4.4 opt-it/s
epoch   5 | step  2280/5400 | loss 0.4071 | lr 1.89e-04 | 4.1 opt-it/s
epoch   5 | step  2300/5400 | loss 0.3911 | lr 1.87e-04 | 3.8 opt-it/s
epoch   5 | step  2320/5400 | loss 0.4009 | lr 1.86e-04 | 3.5 opt-it/s
epoch   6 | step  2340/5400 | loss 0.3879 | lr 1.84e-04 | 3.3 opt-it/s
epoch   6 | step  2360/5400 | loss 0.4175 | lr 1.82e-04 | 3.2 opt-it/s
epoch   7 | step  2380/5400 | loss 0.3996 | lr 1.80e-04 | 3.1 opt-it/s
epoch   7 | step  2400/5400 | loss 0.3984 | lr 1.79e-04 | 3.0 opt-it/s
epoch   7 | step  2420/5400 | loss 0.4192 | lr 1.77e-04 | 2.9 opt-it/s
epoch   8 | step  2440/5400 | loss 0.3849 | lr 1.75e-04 | 2.8 opt-it/s
epoch   8 | step  2460/5400 | loss 0.3955 | lr 1.73e-04 | 2.7 opt-it/s
epoch   8 | step  2480/5400 | loss 0.3528 | lr 1.72e-04 | 2.6 opt-it/s
  VAL step  2500 | loss 0.3868 | psnr_norm 4.14dB | psnr_pix 32.08dB | ssim 0.8928  <-- best
  checkpoint -> mae_backbone_small.pt.ckpt (step 2500)
epoch   9 | step  2500/5400 | loss 0.3978 | lr 1.70e-04 | 2.4 opt-it/s
